string pot (ft/V),Flow (mL/min/V),Pressure (ft H20/V),KPRO Box    ,Aux 1,Aux 2,Aux 3,DHT Slope (ft H20/V),DHT offset (ft H20/V),APS tip distance to DHT,
1.662,8.227,48.27,800,,,,,,,
0.638,22.09,2.71,12345,,,,,,,
1.5,56,23.33,12345,,,,,,,
1.5,56,23.33,12345,,,,,,,
1.5,56,23.33,12345,,,,,,,
134,56,23.33,12345,,,,,,,
1,56,23.33,12345,,,,,,,
0.926683953,56,23.33,800,,,,,,,
0.927,56,23.33,12345,,,,,,,
0.927,56,23.33,12345,,,,,,,
0.971,56,30.335,800,,,,,,,
0.971,24.746,30.335,12345,,,,,,,
0.971,24.746,30.441,12345,,,,,,,
0.971,24.746,30.441,800,,,,,,,
0.971,24.746,30.441,800,,,,,,,
0.971,24.746,30.441,800,,,,,,,
0.971,24.746,30.441,800,,,,,,,
0.971,24.746,30.441,800,1,1,1,,,,
0.971,24.746,30.441,800,1,1,1,53,43,,
0.971,24.746,30.441,800,1,1,1,1.5,1.5,,
0.971,24.746,30.441,800,1,1,1,1,0.001,,
0.971,24.746,30.441,1,1,1,1,1,0.001,5.2,0
0.971,24.746,30.441,1,1,1,1,0,0,5.2,0
0.971,24.746,30.441,1,1,1,1,0,0,5.2,0
0.971,24.746,30.441,1,1,1,1,0,0,5.2,0
0.971,24.746,30.441,1,1,1,1,53,43,5.2,0
0.963,38.933,33.737,810.000,1.000,1.000,1.000,53.000,43.000,5.200,0.000
0.963,38.933,33.737,810.000,1.000,1.000,1.000,57.865,49.071,5.200,0.000
