Time (s),Temperature,pH,Specific Conductance,Salinity,DO % saturation,DO,ORP,depth,battery
1.002,23.390,4.310,0.000,0.010,41.100,2.920,452.000,9.999,12.100
0.998,23.390,4.310,0.000,0.010,41.100,2.920,452.000,9.999,12.100
1.071,23.390,4.310,0.000,0.010,41.100,2.920,452.000,9.999,12.100
1.000,23.390,4.310,0.000,0.010,41.100,2.920,452.000,9.999,12.100
0.999,23.390,4.310,0.000,0.010,41.100,2.920,452.000,9.999,12.000
0.999,23.390,4.310,0.000,0.010,41.100,2.920,452.000,9.999,12.000
0.999,23.390,4.310,0.000,0.010,41.100,2.920,452.000,9.999,12.000
1.007,23.390,4.310,0.000,0.010,41.100,2.920,452.000,9.999,12.000
0.999,23.390,4.310,0.000,0.010,41.100,2.920,452.000,9.999,12.000
1.000,23.390,4.310,0.000,0.010,41.100,2.920,452.000,9.999,12.100
1.000,23.390,4.310,0.000,0.010,41.100,2.920,452.000,9.999,12.100
0.998,23.390,4.310,0.000,0.010,41.100,2.920,452.000,9.999,12.100
0.998,23.390,4.310,0.000,0.010,41.100,2.920,452.000,9.999,12.100
1.075,23.390,4.310,0.000,0.010,41.100,2.920,452.000,9.999,12.100
