Sonde Company Name,Hydrolab
Sensor Model Number,Quanta
Sensor Version,3.1
Sensor Serial Number
,ZQT00034
Date,6/9/2017 10:02:31 AM
Time (s),Temperature,pH,Specific Conductance,Salinity,DO % saturation,DO,ORP,depth,battery
0.999,23.430,4.320,0.000,0.010,40.800,2.890,451.000,9.999,12.000
2.074,23.430,4.320,0.000,0.010,40.800,2.890,451.000,9.999,12.000
3.074,23.430,4.320,0.000,0.010,40.800,2.890,451.000,9.999,12.000
4.073,23.430,4.320,0.000,0.010,40.800,2.890,451.000,9.999,12.100
5.072,23.430,4.320,0.000,0.010,40.800,2.890,451.000,9.999,12.100
6.072,23.430,4.320,0.000,0.010,40.800,2.890,451.000,9.999,12.100
7.146,23.430,4.320,0.000,0.010,40.800,2.890,451.000,9.999,12.100
8.145,23.430,4.320,0.000,0.010,40.800,2.890,451.000,9.999,12.100
9.145,23.430,4.320,0.000,0.010,40.800,2.890,451.000,9.999,12.100
10.144,23.430,4.320,0.000,0.010,40.800,2.890,451.000,9.999,12.100
11.078,23.430,4.320,0.000,0.010,40.800,2.890,451.000,9.999,12.100
