Sonde Company Name,Hydrolab
Sensor Model Number,Quanta
Sensor Version,3.1
Sensor Serial Number,ZQT00034
Date,6/9/2017 12:24:09 PM
Time (s),Temperature,pH,Specific Conductance,Salinity,DO % saturation,DO,ORP,depth,battery
56.792,23.750,4.380,0.001,0.010,40.400,2.850,439.000,9.999,12.100
55.792,23.750,4.380,0.001,0.010,40.400,2.850,439.000,9.999,12.100
54.792,23.740,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
53.793,23.740,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
52.794,23.740,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
51.794,23.740,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
50.720,23.740,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
49.720,23.740,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
48.720,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
47.722,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
46.722,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
45.722,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
44.647,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
43.648,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
42.648,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
41.648,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
40.649,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
39.575,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
38.576,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
37.577,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
36.577,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
35.577,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
34.578,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
33.504,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
32.504,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
31.504,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
30.504,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
29.506,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
28.431,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
27.433,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
26.433,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
25.435,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
24.435,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
23.436,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
22.361,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
21.361,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
20.363,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
19.365,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
18.365,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
17.292,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.100
16.292,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
15.293,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
14.293,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
13.294,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
12.293,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
11.219,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
10.220,23.740,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
9.221,23.740,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
8.222,23.740,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
7.222,23.740,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
6.148,23.740,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
5.148,23.740,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
4.074,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
3.074,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
2.074,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
1.074,23.750,4.380,0.000,0.010,40.400,2.850,439.000,9.999,12.000
