Sonde Company Name,Hydrolab,,,,,,,,
Sensor Model Number,Quanta,,,,,,,,
Sensor Version,3.1,,,,,,,,
Sensor Serial Number,ZQT00034,,,,,,,,
Date,6/12/2017 9:52,,,,,,,,
Time (s),Temperature,pH,Specific Conductance,Salinity,DO % saturation,DO,ORP,depth,battery
(s),(Deg C),,(mS/cm),PSS,%,(mg/L),mV,(m),(V)
1,23.5,5.63,0,0.01,39.5,2.8,434,9.999,12.1
1.999,23.5,5.63,0,0.01,39.5,2.8,434,9.999,12.1
2.998,23.5,5.63,0,0.01,39.5,2.8,434,9.999,12.1
3.999,23.5,5.63,0,0.01,39.5,2.8,434,9.999,12.1
4.998,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12
5.997,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12
6.996,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12
8.071,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12
9.072,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12
10.146,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12
11.147,23.51,5.63,0,0.01,39.5,2.8,434,9.999,12
12.146,23.51,5.63,0,0.01,39.5,2.8,434,9.999,12
13.145,23.51,5.63,0,0.01,39.5,2.8,434,9.999,12
14.219,23.51,5.63,0,0.01,39.5,2.8,434,9.999,12
15.219,23.51,5.63,0,0.01,39.5,2.8,434,9.999,12
16.219,23.51,5.63,0,0.01,39.5,2.8,434,9.999,12.1
17.217,23.51,5.63,0,0.01,39.5,2.8,434,9.999,12.1
18.151,23.51,5.63,0,0.01,39.5,2.8,434,9.999,12.1
19.225,23.51,5.63,0,0.01,39.5,2.8,434,9.999,12.1
20.225,23.51,5.63,0,0.01,39.5,2.8,434,9.999,12.1
21.224,23.51,5.63,0,0.01,39.5,2.8,434,9.999,12.1
22.223,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
23.223,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
24.222,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
25.297,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
26.297,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
27.297,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
28.297,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
29.296,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
30.371,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
31.37,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
32.444,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
33.443,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
34.443,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
35.442,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
36.517,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
37.516,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
38.515,23.51,5.63,0,0.01,39.5,2.8,434,9.999,12.1
39.515,23.51,5.63,0,0.01,39.5,2.8,434,9.999,12.1
40.514,23.51,5.63,0,0.01,39.5,2.8,434,9.999,12.1
41.589,23.51,5.63,0,0.01,39.5,2.8,434,9.999,12.1
42.588,23.51,5.63,0,0.01,39.5,2.8,434,9.999,12.1
43.589,23.51,5.63,0,0.01,39.5,2.8,434,9.999,12
44.589,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12
45.589,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12
46.588,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12
47.662,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12
48.662,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12
49.662,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12
50.661,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12
51.661,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12
52.735,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12
53.735,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12
54.81,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
55.743,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
56.742,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
57.741,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
58.816,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
59.816,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
60.816,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
61.816,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
62.816,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
63.89,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
64.89,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
65.889,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
66.888,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
67.888,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
68.887,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
69.962,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
70.961,23.51,5.63,0,0.01,39.6,2.8,434,9.999,12.1
71.961,23.51,5.63,0,0.01,39.5,2.8,434,9.999,12
72.961,23.51,5.63,0,0.01,39.5,2.8,434,9.999,12
73.96,23.51,5.63,0,0.01,39.5,2.8,434,9.999,12
